,school_name,school_town,school_state,lat,lng
1,Dover-Sherborn Regional High School,"Dover, MA",MA,42.2458749,-71.2828719
2,Westwood High School,"Westwood, MA",MA,42.21398730000001,-71.2244987
3,Lexington High School,"Lexington, MA",MA,42.4430372,-71.2289641
4,Advanced Math & Science Academy Charter School,"Marlborough, MA",MA,42.3459271,-71.5522874
5,Brookline High School,"Brookline, MA",MA,42.33176419999999,-71.1211635
6,Boston Latin School,"Boston, MA",MA,42.3600825,-71.0588801
7,Weston High School,"Weston, MA",MA,42.3667625,-71.3031132
8,Wellesley Senior High School,"Wellesley, MA",MA,42.296797,-71.29238769999999
9,Westford Academy,"Westford, MA",MA,42.5792583,-71.4378411
10,Wayland High School,"Wayland, MA",MA,42.3625953,-71.3614484
11,Cambridge Rindge & Latin School,"Cambridge, MA",MA,42.3736158,-71.10973349999999
12,Hopkinton High School,"Hopkinton, MA",MA,42.22869540000001,-71.5225646
13,Lincoln-Sudbury Regional High School,"Sudbury, MA",MA,42.3834278,-71.4161725
14,Newton North High School,"Newtonville, MA",MA,42.3467771,-71.2072321
15,Sharon High School,"Sharon, MA",MA,42.1236499,-71.1786237
16,Acton-Boxborough Regional High School,"Acton, MA",MA,42.4850931,-71.43284
17,Bedford High School,"Bedford, MA",MA,42.4906231,-71.2760089
18,Belmont High School,"Belmont, MA",MA,42.3956405,-71.1776114
19,Longmeadow High School,"Longmeadow, MA",MA,42.0501022,-72.5828642
20,Nauset Regional High School,"North Eastham, MA",MA,41.8651071,-69.9911305
21,The Bromfield School,"Harvard, MA",MA,42.5000919,-71.5828444
22,Newton South High School,"Newton Centre, MA",MA,42.3300503,-71.1948255
23,Algonquin Regional High School,"Northborough, MA",MA,42.3195556,-71.6411997
24,Hingham High School,"Hingham, MA",MA,42.2418172,-70.889759
25,Manchester Essex Regional High School,"Manchester, MA",MA,42.577834,-70.7675967
26,Sturgis Charter Public School,"Hyannis, MA",MA,41.6524911,-70.2881124
27,Lenox Memorial High School,"Lenox, MA",MA,42.35646089999999,-73.2848762
28,Westborough High School,"Westborough, MA",MA,42.2695216,-71.61612939999999
29,Cohasset Middle/High School,"Cohasset, MA",MA,42.24176749999999,-70.8036544
30,Duxbury High School,"Duxbury, MA",MA,42.0417525,-70.6722767
31,Medfield Senior High School,"Medfield, MA",MA,42.18758260000001,-71.30645969999999
32,Amherst Regional High School,"Amherst, MA",MA,42.367,-72.517
33,Concord Carlisle High School,"Concord, MA",MA,42.4603719,-71.3489484
34,Masconomet Regional High School,"Topsfield, MA",MA,42.6375941,-70.9495053
35,Hamilton-Wenham Regional High School,"South Hamilton, MA",MA,42.6186932,-70.85550599999999
36,Norwell High School,"Norwell, MA",MA,42.1615157,-70.7927832
37,Francis W. Parker Charter Essential School,"Devens, MA",MA,42.537222,-71.615556
38,Milton High School,"Milton, MA",MA,42.2495321,-71.0661653
39,Marthas Vineyard Regional High School,"Oak Bluffs, MA",MA,41.4542793,-70.5619724
40,Oliver Ames High School,"North Easton, MA",MA,42.06666200000001,-71.1045482
41,Marblehead High School,"Marblehead, MA",MA,42.49995819999999,-70.8578024
42,Needham High School,"Needham, MA",MA,42.2809285,-71.23775479999999
43,Lynnfield High School,"Lynnfield, MA",MA,42.53869,-71.0465638
44,Natick High School,"Natick, MA",MA,42.283333,-71.35
45,Tahanto Regional High School,"Boylston, MA",MA,42.3889953,-71.69081419999999
46,Littleton High School,"Littleton, MA",MA,42.5372893,-71.5128022
47,Braintree High School,"Braintree, MA",MA,42.2079017,-71.0040013
48,Shrewsbury Senior High School,"Shrewsbury, MA",MA,42.2959267,-71.71284709999999
49,Ashland High School,"Ashland, MA",MA,42.2612067,-71.4633956
50,Holliston High School,"Holliston, MA",MA,42.20009659999999,-71.4245049
51,Reading Memorial High School,"Reading, MA",MA,42.5256563,-71.0952891
52,Burlington High School,"Burlington, MA",MA,42.5047161,-71.1956205
53,Nashoba Regional High School,"Bolton, MA",MA,42.43342579999999,-71.6078449
54,Groton Dunstable Regional High School,"Groton, MA",MA,42.6112018,-71.5745152
55,Monument Mountain Regional High School,"Great Barrington, MA",MA,42.1959798,-73.362008
56,Northampton High School,"Northampton, MA",MA,42.3250896,-72.64120129999999
57,Minnechaug Regional High School,"Wilbraham, MA",MA,42.1237206,-72.431586
58,Andover High School,"Andover, MA",MA,42.6583356,-71.1367953
59,Frontier Regional School,"South Deerfield, MA",MA,42.4773097,-72.6078667
60,Barnstable High School,"Hyannis, MA",MA,41.6524911,-70.2881124
61,Blackstone Valley Regional Vocational Technical High School,"Upton, MA",MA,42.1744878,-71.6022583
62,Abby Kelley Foster Charter Public School,"Worcester, MA",MA,42.2625932,-71.8022934
63,O'Bryant School of Math & Science,"Roxbury, MA",MA,42.3151978,-71.0913748
64,Community Charter School of Cambridge,"Cambridge, MA",MA,42.3736158,-71.10973349999999
65,Winchester High School,"Winchester, MA",MA,42.452303,-71.1369959
66,Foxborough Regional Charter School,"Foxborough, MA",MA,42.0653768,-71.2478308
67,North Andover High School,"North Andover, MA",MA,42.69870239999999,-71.1350575
68,Boston Latin Academy,"Dorchester, MA",MA,42.30163049999999,-71.067605
69,Grafton High School,"Grafton, MA",MA,42.2070391,-71.6856236
70,Rockport High School,"Rockport, MA",MA,42.6556505,-70.620363
71,Foxborough High School,"Foxborough, MA",MA,42.0653768,-71.2478308
72,Newburyport High School,"Newburyport, MA",MA,42.8125913,-70.87727509999999
73,Scituate High School,"Scituate, MA",MA,42.195929,-70.7258633
74,Wachusett Regional High School,"Holden, MA",MA,42.3517585,-71.8634062
75,Medway High School,"Medway, MA",MA,42.1417641,-71.3967256
76,Ipswich High School,"Ipswich, MA",MA,42.6791832,-70.8411558
77,Georgetown Middle/High School,"Georgetown, MA",MA,42.7250918,-70.99116590000001
78,Harwich High School,"Harwich, MA",MA,41.686111,-70.07638899999999
79,Academy of the Pacific Rim Charter Public School,"Hyde Park, MA",MA,42.2565289,-71.1240559
80,Hanover High School,"Hanover, MA",MA,42.116667,-70.816667
81,Hudson High School,"Hudson, MA",MA,42.39173599999999,-71.56613899999999
82,Oakmont Regional High School,"Ashburnham, MA",MA,42.635545,-71.90973939999999
83,Salem Academy Charter School,"Salem, MA",MA,42.51954,-70.8967155
84,Boston Preparatory Charter Public School,"Hyde Park, MA",MA,42.2565289,-71.1240559
85,Mt. Greylock Regional High School,"Williamstown, MA",MA,42.7120196,-73.20368979999999
86,Nantucket High School,"Nantucket, MA",MA,41.2834704,-70.099451
87,Beverly High School,"Beverly, MA",MA,42.5584283,-70.880049
88,Old Rochester Regional High School,"Mattapoisett, MA",MA,41.6616323,-70.81507420000001
89,Franklin High School,"Franklin, MA",MA,42.0834313,-71.396725
90,Tantasqua Regional Senior High School,"Fiskdale, MA",MA,42.1162056,-72.11341
91,Danvers High School,"Danvers, MA",MA,42.5750009,-70.93212199999999
92,Swampscott High School,"Swampscott, MA",MA,42.47094370000001,-70.91755619999999
93,Silver Lake Regional High School,"Kingston, MA",MA,41.9932752,-70.7284785
94,Shawsheen Valley Technical High School,"Billerica, MA",MA,42.5584218,-71.2689461
95,Nipmuc Regional High School,"Upton, MA",MA,42.1744878,-71.6022583
96,North Quincy High School,"Quincy, MA",MA,42.2528772,-71.0022705
97,West Bridgewater Middle/Senior High School,"West Bridgewater, MA",MA,42.0189894,-71.00782149999999
98,Malden High School,"Malden, MA",MA,42.4250964,-71.066163
99,Framingham High School,"Framingham, MA",MA,42.279286,-71.4161565
100,Arlington High School,"Arlington, MA",MA,42.4153925,-71.1564729
