,school_name,school_town,school_state,lat,lng
1,High Technology High School,"Lincroft, NJ",NJ,40.3306656,-74.1209748
2,Adlai E. Stevenson High School,"Lincolnshire, IL",IL,42.1900249,-87.9084039
3,International Academy,"Bloomfield Hills, MI",MI,42.583645,-83.24548829999999
4,Stuyvesant High School,"New York, NY",NY,40.7127837,-74.0059413
5,Staten Island Technical High School,"Staten Island, NY",NY,40.5795317,-74.1502007
6,Payton College Preparatory High School,"Chicago, IL",IL,41.8781136,-87.6297982
7,Westlake High School,"Austin, TX",TX,30.267153,-97.7430608
8,Thomas Jefferson High School for Science and Technology,"Alexandria, VA",VA,38.8048355,-77.0469214
9,Young Magnet High School,"Chicago, Illinois",IL,41.8781136,-87.6297982
10,Granada Hills Charter High School,"Granada Hills, CA",CA,34.2793576,-118.5021527
11,"Gwinnett School of Mathematics, Science & Technology","Lawrenceville, GA",GA,33.9562149,-83.9879625
12,Technical School - Teterboro,"Teterboro, NJ",NJ,40.8598219,-74.0593075
13,Troy High School,"Fullerton, CA",CA,33.8703596,-117.9242966
14,Liberal Arts & Science Academy,"Austin, TX",TX,30.267153,-97.7430608
15,School for the Talented & Gifted,"Dallas, TX",TX,32.7766642,-96.79698789999999
16,Jericho Senior High School,"Jericho, NY",NY,40.79204410000001,-73.5398476
17,Northside College Preparatory High School,"Chicago, IL",IL,41.8781136,-87.6297982
18,Glenbrook North High School,"Northbrook, IL",IL,42.1275267,-87.82895479999999
19,Glenbrook South High School,"Glenview, IL",IL,42.0697509,-87.7878408
20,New Trier Township High School,"Winnetka, IL",IL,42.10808340000001,-87.735895
21,High Tech High School,"N Bergen, NJ",NJ,40.8042674,-74.012084
22,The Science Academy of South Texas,"Mercedes, TX",TX,26.1497977,-97.91361119999999
23,Saratoga High School,"Saratoga, CA",CA,37.2638324,-122.0230146
24,Rye High School,"Rye, NY",NY,40.9806535,-73.68373989999999
25,Henry M. Gunn High School,"Palo Alto, CA",CA,37.4418834,-122.1430195
26,Conestoga Senior High School,"Berwyn, PA",PA,40.045824,-75.4395931
27,Hinsdale Central High School,"Hinsdale, IL",IL,41.8008642,-87.9370052
28,Plano West Senior High School,"Plano, TX",TX,33.0198431,-96.6988856
29,Vernon Hills High School,"Vernon Hills, IL",IL,42.23933230000001,-87.9653565
30,Horace Greeley High School,"Chappaqua, NY",NY,41.1595399,-73.764855
31,Edgemont Junior/Senior High School,"Scarsdale, NY",NY,41.0050977,-73.7845768
32,Biotechnology High School,"Freehold, NJ",NJ,40.224382,-74.29905099999999
33,North Allegheny Senior High School,"Wexford, PA",PA,40.6266318,-80.05497679999999
34,Great Neck South High School,"Great Neck, NY",NY,40.8006567,-73.7284647
35,Palos Verdes Peninsula High School,"Rolling Hills Estates, CA",CA,33.7877943,-118.3581284
36,Palos Verdes High School,"Palos Verdes Estates, CA",CA,33.8005714,-118.3900737
37,San Marino High School,"San Marino, CA",CA,34.121397,-118.1064585
38,"Indiana Academy for Science, Mathematics & Humanities","Muncie, IN",IN,40.1933767,-85.3863599
39,California Academy of Mathematics & Science,"Carson, CA",CA,33.8316745,-118.281693
40,Northwood High School,"Irvine, CA",CA,33.6839473,-117.7946942
41,Redwood High School,"Larkspur, CA",CA,37.9340915,-122.5352539
42,Libertyville High School,"Libertyville, IL",IL,42.2830786,-87.9531303
43,Dougherty Valley High School,"San Ramon, CA",CA,37.7799273,-121.9780153
44,Neuqua Valley High School,"Naperville, IL",IL,41.748056,-88.165556
45,Lynbrook High School,"San Jose, CA",CA,37.3382082,-121.8863286
46,Canyon Crest Academy,"San Diego, CA",CA,32.715738,-117.1610838
47,School for Advanced Studies - South,"Miami, FL",FL,25.7616798,-80.1917902
48,Orange County School of the Arts (OCSA),"Santa Ana, CA",CA,33.7455731,-117.8678338
49,Miramonte High School,"Orinda, CA",CA,37.8771476,-122.1796888
50,Lower Merion High School,"Ardmore, PA",PA,40.0067785,-75.2854622
51,Carroll Senior High School,"Southlake, TX",TX,32.9412363,-97.1341783
52,Raleigh Charter High School,"Raleigh, NC",NC,35.7795897,-78.6381787
53,Minnetonka Senior High School,"Minnetonka, MN",MN,44.9211836,-93.4687489
54,Deerfield High School,"Deerfield, IL",IL,42.1711365,-87.8445119
55,University High School,"Normal, IL",IL,40.5142026,-88.9906312
56,Pine View School,"Osprey, FL",FL,27.1961627,-82.4903748
57,Hanover High School,"Hanover, NH",NH,43.7022451,-72.2895526
58,Unionville High School,"Kennett Square, PA",PA,39.8467767,-75.7116032
59,Plano Senior High School,"Plano, TX",TX,33.0198431,-96.6988856
60,Westview High School,"San Diego, CA",CA,32.715738,-117.1610838
61,Coronado High School,"Coronado, CA",CA,32.6858853,-117.1830891
62,Dr. Ronald E. McNair Academic High School,"Jersey City, NJ",NJ,40.72815749999999,-74.0776417
63,Academic Magnet High School,"North Charleston, SC",SC,32.8546197,-79.9748103
64,Dover-Sherborn Regional High School,"Dover, MA",MA,42.2458749,-71.2828719
65,Indian Hill High School,"Cincinnati, OH",OH,39.1031182,-84.5120196
66,International School,"Bellevue, WA",WA,47.610377,-122.2006786
67,University High School,"Irvine, CA",CA,33.6839473,-117.7946942
68,Highland Park High School,"Highland Park, IL",IL,42.1816918,-87.8003437
69,Los Altos High School,"Los Altos, CA",CA,37.3852183,-122.1141298
70,Scarsdale Senior High School,"Scarsdale, NY",NY,41.0050977,-73.7845768
71,Campolindo High School,"Moraga, CA",CA,37.8349263,-122.1296871
72,Evanston Township High School,"Evanston, IL",IL,42.0450722,-87.68769689999999
73,Seven Lakes High School,"Katy, TX",TX,29.7857853,-95.8243956
74,Blind Brook High School,"Rye Brook, NY",NY,41.0192641,-73.68346210000001
